bootstrap,model,n_rows,mae,rmse,r2
24,count_plus_PB_count,239,0.3591650709352622,0.4233701172972585,0.7834518755134912
24,count_plus_PE_count,239,0.24162554713159307,0.2926152991079727,0.896555338503191
24,count_plus_BE_count,239,0.3660855186864267,0.44049011419512124,0.7655844826068327
24,count_plus_all_pairs,239,0.2177061346781538,0.2631489876685053,0.9163400825022825
25,additive_head,239,0.3980539923090214,0.4748439199334983,0.7456775272931568
25,count_additive,239,0.4048671379717523,0.482277581104404,0.7376523837585669
25,count_plus_PB_count,239,0.39683395563379403,0.4618967769161141,0.7593572189499493
25,count_plus_PE_count,239,0.27306800169199363,0.3281145156536569,0.8785678003311079
25,count_plus_BE_count,239,0.40582178484697673,0.4809794977661689,0.739062736539419
25,count_plus_all_pairs,239,0.2505555577825715,0.2995140644475113,0.898814701865706
26,additive_head,239,0.37560078545699077,0.45286544935452183,0.7591432306330285
26,count_additive,239,0.38158067454786765,0.4590446082030395,0.7525256103175999
26,count_plus_PB_count,239,0.3719330382970766,0.4364846584183412,0.776252367878797
26,count_plus_PE_count,239,0.2596562610991708,0.3131361716409364,0.8848438979682733
26,count_plus_BE_count,239,0.3818060204211294,0.4574812856700625,0.7542083378764028
26,count_plus_all_pairs,239,0.2344181790284892,0.2814082547142291,0.9069976021557506
27,additive_head,239,0.3811920563923804,0.4569725486395736,0.7557269799050916
27,count_additive,239,0.3871865324446834,0.46346203677803655,0.7487398526960668
27,count_plus_PB_count,239,0.37917610627425874,0.4431059031213453,0.7703267849458282
27,count_plus_PE_count,239,0.25988557456396516,0.31327202831836903,0.8852008912983662
27,count_plus_BE_count,239,0.3876529850306632,0.4616218378150515,0.7507311732231287
27,count_plus_all_pairs,239,0.23690380024514052,0.28381520971025626,0.9057748994451451
28,additive_head,239,0.3888005267474099,0.467533128373774,0.7583225043686861
28,count_additive,239,0.39645147757159943,0.47461005805770407,0.7509507097823521
28,count_plus_PB_count,239,0.38623175770933044,0.45195075030351556,0.7741637485905367
28,count_plus_PE_count,239,0.26874738192865083,0.3234675806427318,0.8843160914275503
28,count_plus_BE_count,239,0.3953983519095224,0.4725098573565035,0.7531499729501797
28,count_plus_all_pairs,239,0.24296326546699207,0.29115420675121245,0.9062745418887452
29,additive_head,239,0.36885314098285743,0.44167906106045635,0.7580532114641692
29,count_additive,239,0.3750760032573637,0.44782263342825085,0.7512756416748578
29,count_plus_PB_count,239,0.3677372954185649,0.42887444936265323,0.7718783064611299
29,count_plus_PE_count,239,0.2511104756392129,0.30261787354316316,0.886421693064646
29,count_plus_BE_count,239,0.3758974923882641,0.4466991484465665,0.7525220617397546
29,count_plus_all_pairs,239,0.23029891791798018,0.27581883388315337,0.9056473556866959
30,additive_head,239,0.3758157370049921,0.4528176928775451,0.7644563912174058
30,count_additive,239,0.3813342409569876,0.45881022168190844,0.7581808339849451
30,count_plus_PB_count,239,0.37234464816873586,0.43678777606893443,0.7808378759709041
30,count_plus_PE_count,239,0.2584515762507154,0.31187939281752247,0.8882627677920297
30,count_plus_BE_count,239,0.3811148323633916,0.4567329661910827,0.7603655414898766
30,count_plus_all_pairs,239,0.2332803210590291,0.2801710419429798,0.9098281375558908
31,additive_head,239,0.3753739682548217,0.4493316585318371,0.7680983904544438
31,count_additive,239,0.3823469950650577,0.4559234624718786,0.761244376292839
31,count_plus_PB_count,239,0.3739948579729373,0.4360790391012981,0.7815761038567531
31,count_plus_PE_count,239,0.25603965105688226,0.30729008649828166,0.8915406930862371
