fold_seed,model,n_rows,mae,rmse,r2
27,count_plus_BE_count,239,0.3898981131022764,0.46987881521374497,0.7431013198083856
27,count_plus_all_pairs,239,0.2315155175307012,0.28685212377707503,0.9042571651593784
28,additive_head,239,0.3875027417001647,0.4620448151235711,0.7515961370399933
28,count_additive,239,0.3920024779443454,0.4705360515503052,0.7423821504164232
28,count_plus_PB_count,239,0.38346661579508606,0.44791068419060315,0.7665612295952197
28,count_plus_PE_count,239,0.2621259349073999,0.31920095531082604,0.8814453731431133
28,count_plus_BE_count,239,0.3926245332097961,0.47242428709296996,0.7403103890141078
28,count_plus_all_pairs,239,0.23056452273560685,0.28269751836860296,0.9070104523135862
29,additive_head,239,0.3813019325827839,0.45428594123016836,0.7598687194091084
29,count_additive,239,0.3909113350101076,0.4663239954885682,0.7469736971033465
29,count_plus_PB_count,239,0.3784590520952227,0.44155207697630133,0.7731420480769416
29,count_plus_PE_count,239,0.26302622674673865,0.316157732212593,0.883695167935789
29,count_plus_BE_count,239,0.3909400128150285,0.46081972676502997,0.7529116511662013
29,count_plus_all_pairs,239,0.2309895240766258,0.28117670280880025,0.9080082647913941
30,additive_head,239,0.3889765994582745,0.459789825198884,0.7540148691641181
30,count_additive,239,0.3958857350350433,0.4685176301478522,0.7445875759857347
30,count_plus_PB_count,239,0.39074646802078905,0.45297057448250244,0.7612572872336127
30,count_plus_PE_count,239,0.2595087506989227,0.3136277477661305,0.8855491291228008
30,count_plus_BE_count,239,0.39459934460161455,0.4660456437276095,0.7472756729720947
30,count_plus_all_pairs,239,0.23281898475172147,0.28488563298235636,0.9055653795863163
31,additive_head,239,0.3804360660440376,0.4517276164778215,0.7625657167134249
31,count_additive,239,0.3887230222165761,0.46633980034507727,0.7469565454567759
31,count_plus_PB_count,239,0.38254367866003686,0.4467119499437839,0.7678090524555066
31,count_plus_PE_count,239,0.25853093027911545,0.31438795984582696,0.8849936146021354
31,count_plus_BE_count,239,0.3919444229229997,0.4695068376007104,0.7435079043561335
31,count_plus_all_pairs,239,0.2303731929723839,0.28275118434343466,0.9069751435607591
32,additive_head,239,0.3811984507190978,0.45230005007932594,0.7619635773995044
32,count_additive,239,0.38160973608123944,0.45599603199541067,0.7580574408464988
32,count_plus_PB_count,239,0.37299319517892765,0.43295484275568463,0.7818901161136275
32,count_plus_PE_count,239,0.2552035450154427,0.30920918649949125,0.8887513064823465
32,count_plus_BE_count,239,0.37839648728330677,0.4502817817174664,0.7640831858517709
32,count_plus_all_pairs,239,0.2266649643670578,0.27684793785985257,0.9108189196842218
33,additive_head,239,0.38332883181508104,0.4538131989595211,0.7603682336156443
33,count_additive,239,0.3932919566365105,0.4661259122098875,0.7471886104906352
33,count_plus_PB_count,239,0.38016603540837696,0.4358382471086951,0.7789752940326462
33,count_plus_PE_count,239,0.2601936135155531,0.3173161959508105,0.8828412791054007
33,count_plus_BE_count,239,0.3942550527208787,0.463375856900093,0.7501628900902053
