fold_seed,pair,model,delta_mae
87,BE,count_plus_BE_count,0.0038584703889200656
88,BE,count_plus_BE_count,0.0011905888724773606
89,BE,count_plus_BE_count,0.007441128530297436
90,BE,count_plus_BE_count,0.0029705971147666044
91,BE,count_plus_BE_count,0.005894498303500806
92,BE,count_plus_BE_count,0.004655558588142095
93,BE,count_plus_BE_count,0.005169244327556721
94,BE,count_plus_BE_count,0.00039934970111632495
95,BE,count_plus_BE_count,0.0006368356469254599
96,BE,count_plus_BE_count,0.004658969331401752
97,BE,count_plus_BE_count,0.0027433241583336154
98,BE,count_plus_BE_count,0.003721034115759636
99,BE,count_plus_BE_count,-0.0004467478344684084
100,BE,count_plus_BE_count,0.003382905617259513
101,BE,count_plus_BE_count,0.0035722576473959378
102,BE,count_plus_BE_count,-0.0009139442601214798
103,BE,count_plus_BE_count,0.003073452146725386
104,BE,count_plus_BE_count,0.004263567533264123
105,BE,count_plus_BE_count,-0.0003131371911824776
106,BE,count_plus_BE_count,0.00030105251045314807
107,BE,count_plus_BE_count,0.0006532737971881031
108,BE,count_plus_BE_count,0.008141481638534509
109,BE,count_plus_BE_count,0.0008722508446473709
110,BE,count_plus_BE_count,0.0014802019652084275
111,BE,count_plus_BE_count,-0.0009669222887594975
112,BE,count_plus_BE_count,0.0002506430977977647
113,BE,count_plus_BE_count,0.004499826563996889
114,BE,count_plus_BE_count,0.0017017060774782156
115,BE,count_plus_BE_count,0.004548678880481438
116,BE,count_plus_BE_count,-0.0012197974917902976
117,BE,count_plus_BE_count,-0.0037487120147979835
118,BE,count_plus_BE_count,2.0874161015427273e-05
119,BE,count_plus_BE_count,0.001170805583885437
120,BE,count_plus_BE_count,0.0034089739856529855
121,BE,count_plus_BE_count,-0.0008668276498757788
122,BE,count_plus_BE_count,0.00297660458295701
123,BE,count_plus_BE_count,0.005701708348691437
124,BE,count_plus_BE_count,0.002509364077369347
125,BE,count_plus_BE_count,0.0035105619687904044
126,BE,count_plus_BE_count,0.002569689627181404
127,BE,count_plus_BE_count,0.0009507351838951017
128,BE,count_plus_BE_count,0.001542304594880417
129,BE,count_plus_BE_count,0.0019188063907210062
130,BE,count_plus_BE_count,-0.007764081833354919
131,BE,count_plus_BE_count,0.002133023088114694
132,BE,count_plus_BE_count,0.0012766916967738018
133,BE,count_plus_BE_count,-0.0018137706669718034
134,BE,count_plus_BE_count,0.0030372527345766676
135,BE,count_plus_BE_count,0.0029309417153540185
136,BE,count_plus_BE_count,0.0023611535750657775
137,BE,count_plus_BE_count,0.001104041749058482
138,BE,count_plus_BE_count,-0.0009252245186118779
139,BE,count_plus_BE_count,0.0024909826380117295
140,BE,count_plus_BE_count,0.005849377440539649
141,BE,count_plus_BE_count,0.0008593557441859412
142,BE,count_plus_BE_count,-0.0001648921131541803
143,BE,count_plus_BE_count,0.004944792677162746
144,BE,count_plus_BE_count,-0.0020767302833026857
145,BE,count_plus_BE_count,0.002113630189876037
146,BE,count_plus_BE_count,0.0001891119880527703
147,BE,count_plus_BE_count,0.0015940912446026356
148,BE,count_plus_BE_count,0.004170173100695618
149,BE,count_plus_BE_count,0.0015612298598670082
150,BE,count_plus_BE_count,0.0013441687962714721
151,BE,count_plus_BE_count,0.0015702191340254412
152,BE,count_plus_BE_count,0.0013485371773609423
153,BE,count_plus_BE_count,-0.0002681780243768972
154,BE,count_plus_BE_count,-0.0012752614249307848
155,BE,count_plus_BE_count,0.0021931518425371554
156,BE,count_plus_BE_count,0.0009706554868270656
157,BE,count_plus_BE_count,0.004124294746021218
158,BE,count_plus_BE_count,-0.0005797983252746608
159,BE,count_plus_BE_count,0.0020696197234970626
160,BE,count_plus_BE_count,0.0022967738830527717
161,BE,count_plus_BE_count,0.002405433752282471
162,BE,count_plus_BE_count,0.0035768306964875096
163,BE,count_plus_BE_count,-0.0012609291348893992
164,BE,count_plus_BE_count,0.0021650863550147226
165,BE,count_plus_BE_count,0.0007495121517638315
166,BE,count_plus_BE_count,0.002634268614936097
167,BE,count_plus_BE_count,0.0016215783527216976
168,BE,count_plus_BE_count,-0.003198953870651444
169,BE,count_plus_BE_count,0.0061055127305796875
170,BE,count_plus_BE_count,0.00144226147921378
171,BE,count_plus_BE_count,-0.0004229037445314665
172,BE,count_plus_BE_count,-0.0008152770152984878
