epsilon,context_seed,design_seed,mask_index,split,finite_response,atp_prediction
5.0,17,8,108,holdout,3.0885562896728516,2.784345270097271
5.0,17,8,109,validation,-0.0871158093214035,-0.07250433865313727
5.0,17,8,110,train,3.196828842163086,2.8955820052834107
5.0,17,8,111,train,0.17529402673244476,0.03644530077281128
5.0,17,8,112,validation,-2.898904800415039,-3.856997586534019
5.0,17,8,113,holdout,2.7797951698303223,2.9513608188641016
5.0,17,8,114,holdout,-2.0257110595703125,-2.370412443609287
5.0,17,8,115,train,-1.8350927829742432,-2.47370117218522
5.0,17,8,116,train,4.018531799316406,5.055544057077711
5.0,17,8,117,train,-1.6026992797851562,-1.868876125663519
5.0,17,8,118,validation,-0.2454524040222168,-0.22248060248183354
5.0,17,8,119,validation,2.7920351028442383,2.2317488704606663
5.0,17,8,120,holdout,-0.08305445313453674,-0.03371264097612347
5.0,17,8,121,train,2.7433247566223145,2.3849310819059606
5.0,17,8,122,train,2.3435065746307373,2.123556184735933
5.0,17,8,123,train,2.2388265132904053,1.7589603615613916
5.0,17,8,124,train,0.20955276489257812,0.1711967481213803
5.0,17,8,125,train,2.706270217895508,2.2676653115645884
5.0,17,8,126,train,-1.6049479246139526,-1.7707854993779168
5.0,17,8,127,train,1.7797582149505615,1.3552036803836622
5.0,17,9,0,validation,0.027545519173145294,-0.048863530854934195
5.0,17,9,1,holdout,3.931121826171875,4.472058086748787
5.0,17,9,2,train,-0.20807723701000214,-0.0018691685633761973
5.0,17,9,3,holdout,3.989061117172241,5.136390767847341
5.0,17,9,4,holdout,-1.5689380168914795,-1.4063593752641017
5.0,17,9,5,train,-0.1335747390985489,-0.10626487283137177
5.0,17,9,6,train,0.15694855153560638,0.15108897825457013
5.0,17,9,7,holdout,3.7714955806732178,4.380430843423275
5.0,17,9,8,train,0.7997891306877136,0.7348895041892926
5.0,17,9,9,validation,-1.8528265953063965,-1.760867169831351
5.0,17,9,10,validation,-0.16555801033973694,-0.20659148576669395
5.0,17,9,11,holdout,-0.8468338847160339,-0.7363101795112517
5.0,17,9,12,validation,-2.017869472503662,-2.317887930066364
5.0,17,9,13,train,2.398488998413086,1.8047205065449454
5.0,17,9,14,holdout,4.666904926300049,6.453810122254429
5.0,17,9,15,train,0.32425349950790405,0.21631986572685358
5.0,17,9,16,train,-0.7443405985832214,-0.5676346395747335
5.0,17,9,17,train,-0.25305840373039246,-0.26131107011712223
5.0,17,9,18,validation,-0.15306000411510468,-0.34237595626689044
5.0,17,9,19,holdout,1.2042033672332764,0.7808412834779047
5.0,17,9,20,train,-3.627696990966797,-5.442221226198952
5.0,17,9,21,validation,0.184970885515213,0.050155127781582154
5.0,17,9,22,train,2.7646970748901367,2.1393032355728288
5.0,17,9,23,train,-2.471954345703125,-3.184271720392569
5.0,17,9,24,train,0.16251181066036224,0.06019811726206431
5.0,17,9,25,train,-0.09509676694869995,0.16544295608215487
5.0,17,9,26,train,-1.6722376346588135,-1.8834968104368472
5.0,17,9,27,train,-1.872193694114685,-2.1706231006077794
5.0,17,9,28,train,-3.6362688541412354,-5.491693159955531
5.0,17,9,29,validation,3.09765625,2.647021176836618
5.0,17,9,30,holdout,0.4247201681137085,0.3967347403406898
5.0,17,9,31,holdout,-0.3514021635055542,-0.5827091344961584
5.0,17,9,32,holdout,-2.263545274734497,-2.9149125163666
5.0,17,9,33,train,3.6859893798828125,3.6651768624935284
5.0,17,9,34,train,-0.23646977543830872,-0.21786762366717355
5.0,17,9,35,holdout,0.8172266483306885,0.3680322439400431
5.0,17,9,36,validation,0.034172456711530685,0.030330440495163202
5.0,17,9,37,train,-2.0439319610595703,-2.611993211551428
5.0,17,9,38,validation,2.7375659942626953,2.5624794777446978
5.0,17,9,39,holdout,3.02248215675354,2.4526756289006073
5.0,17,9,40,train,0.03067827969789505,0.03274664282798767
5.0,17,9,41,holdout,-1.5035086870193481,-1.5003181350441375
5.0,17,9,42,holdout,3.801581382751465,4.328249454829008
5.0,17,9,43,holdout,2.0753602981567383,1.8757336664335122
5.0,17,9,44,holdout,3.194708824157715,3.129248584154993
5.0,17,9,45,train,0.5756559371948242,0.20562567204857862
5.0,17,9,46,train,4.331106662750244,5.509414576614896
5.0,17,9,47,train,-3.274242877960205,-5.219542133270924
5.0,17,9,48,validation,-3.3658695220947266,-4.86042243874009
5.0,17,9,49,validation,0.048280712217092514,-0.0015382119454443455
5.0,17,9,50,train,-0.20747098326683044,-0.08742838716023658
5.0,17,9,51,validation,0.3725354075431824,0.35996955338135894
5.0,17,9,52,holdout,-2.2306265830993652,-2.6409143892427283
5.0,17,9,53,holdout,0.10538499057292938,0.1625500741582262
5.0,17,9,54,train,-0.29708507657051086,-0.344351265338365
5.0,17,9,55,holdout,-1.598892092704773,-1.7140138396873699
5.0,17,9,56,holdout,0.44233542680740356,0.5572977548121403
5.0,17,9,57,train,-3.95574688911438,-6.088197125821437
5.0,17,9,58,validation,-1.4980487823486328,-1.3670959834387442
5.0,17,9,59,train,-2.1746859550476074,-2.5152202276110094
5.0,17,9,60,train,-1.6723766326904297,-1.8572044442407787
5.0,17,9,61,train,0.2992418706417084,0.1250279039876966
5.0,17,9,62,train,-0.3374335467815399,-0.3085467478544668
5.0,17,9,63,train,3.4625706672668457,3.1125491757584305
5.0,17,9,64,train,0.29625606536865234,0.285261809060916
5.0,17,9,65,train,4.199728488922119,5.279509772280283
5.0,17,9,66,validation,3.4926564693450928,3.206591207857397
5.0,17,9,67,holdout,2.6582515239715576,2.6546220138383436
5.0,17,9,68,train,2.852607250213623,2.5276173169801246
5.0,17,9,69,train,2.9484713077545166,2.7424037242107797
5.0,17,9,70,train,-1.835576057434082,-2.0842368024834896
5.0,17,9,71,holdout,3.881403684616089,4.110527464834281
5.0,17,9,72,train,-3.5888710021972656,-5.639913090829978
5.0,17,9,73,holdout,-2.051632881164551,-2.3375337457427254
