model,n_rows,mae,rmse,r2,columns,n_params,bootstrap
pb_group_interaction,159,0.35475653202870705,0.4422417955173286,0.7323350652159113,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,22
group_interaction,159,0.3440418472310794,0.4285193890131928,0.7486882089236214,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,22
additive_head,159,0.3362589726728997,0.41580426288369127,0.7366068482309944,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,23
pb_group_interaction,159,0.336938397374974,0.4191295264764234,0.7323771954328107,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,23
group_interaction,159,0.3270085428738577,0.406837114687165,0.7478449122416371,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,23
additive_head,159,0.32280600861198255,0.40194934583821823,0.7498847262331165,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,24
pb_group_interaction,159,0.323191057967396,0.40483047941902506,0.7462862719872858,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,24
group_interaction,159,0.312347064545718,0.3913091872272886,0.7629512606170546,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,24
additive_head,159,0.3540472902117719,0.4350548607281745,0.7251804619598801,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,25
pb_group_interaction,159,0.35486933926392966,0.4384707483785796,0.7208479599324961,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,25
group_interaction,159,0.34494886427549015,0.4267092838829774,0.7356229583938778,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,25
additive_head,159,0.3361987682810338,0.41650120913408245,0.7353370913775439,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,26
pb_group_interaction,159,0.3366616361402866,0.4198015714522507,0.7311260868471521,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,26
group_interaction,159,0.32677098210798855,0.4070780353321051,0.7471774032689897,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,26
additive_head,159,0.3406828023792084,0.4198202790012245,0.734857822284666,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,27
pb_group_interaction,159,0.34100961741738,0.4229930158626185,0.7308351243251181,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,27
group_interaction,159,0.33001553531888855,0.41099264380933587,0.7458909745962141,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,27
additive_head,159,0.3493648696025503,0.43320790428899264,0.7324123712847257,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,28
pb_group_interaction,159,0.3505570592425453,0.436791244732254,0.727967285100644,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,28
group_interaction,159,0.34073336806658383,0.424005144694155,0.7436604963681677,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,28
additive_head,159,0.3287184874775422,0.4048563461053543,0.734945456231747,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,29
pb_group_interaction,159,0.3289636458120189,0.40777000600798885,0.7311166524504078,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,29
group_interaction,159,0.31928077973168,0.3962761901320056,0.7460610560734038,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,29
additive_head,159,0.33561559835204025,0.41573516548374806,0.7413106467761212,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,30
pb_group_interaction,159,0.33580506250416525,0.4186278706721992,0.7376981766648797,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,30
group_interaction,159,0.32524127183861756,0.40647709693113226,0.7527039426025485,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,30
additive_head,159,0.3360344164375425,0.414858360911042,0.7486496554492239,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,31
pb_group_interaction,159,0.3367677221625366,0.41807676045329206,0.7447346630497746,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,31
group_interaction,159,0.3269492632014294,0.40608248155546894,0.7591712678141705,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,31
additive_head,159,0.3378951853344526,0.41696711517223695,0.7336747338182735,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,32
pb_group_interaction,159,0.3382828554435857,0.4199422640062759,0.7298606003052748,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,32
group_interaction,159,0.3290841620393436,0.40849364177413156,0.7443891043560065,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,32
additive_head,159,0.32606567102853456,0.40451889511989814,0.7584033367224124,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,33
pb_group_interaction,159,0.32617026958521245,0.4074895244690453,0.7548419239898468,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,33
group_interaction,159,0.3145535297557202,0.3941145735256005,0.7706713597131004,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,33
additive_head,159,0.34024065374252094,0.4193809890462333,0.7307818718352795,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,34
pb_group_interaction,159,0.34069311447247935,0.4224056956770213,0.7268844974059403,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,34
group_interaction,159,0.32980562450662526,0.4101301742393718,0.7425278460472686,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,34
additive_head,159,0.3581703416238874,0.4421656223577412,0.7214011355744167,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,35
pb_group_interaction,159,0.3587749828773996,0.4454519462506875,0.7172444646070796,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,35
