m_gain,repeat,gain,holdout_r2,n_train_available,epsilon
4,4,1.6451211822131724,0.957649221343672,96,0.6
4,5,1.6418202814759895,0.9579417650643856,96,0.6
4,6,1.6595651663008553,0.9562402652397564,96,0.6
4,7,1.5446391110582232,0.9616453926121243,96,0.6
4,8,1.1122343579087284,0.8630027672489895,96,0.6
4,9,1.5466307486007043,0.9616647984026,96,0.6
4,10,1.231012787026549,0.9088267188079902,96,0.6
4,11,1.6984798792002709,0.9514004039305987,96,0.6
4,12,1.3050154920647319,0.9302044428053924,96,0.6
4,13,1.3819757952280243,0.9465958087411022,96,0.6
4,14,1.584371464015238,0.9612786798695162,96,0.6
4,15,1.6766446932027694,0.9543035512628145,96,0.6
4,16,1.1888673790005597,0.8941909591443462,96,0.6
4,17,1.2809559460533537,0.9238582584030214,96,0.6
4,18,1.099594505185661,0.8572913128140569,96,0.6
4,19,1.534839674433913,0.961491822638166,96,0.6
4,20,1.5428245578916764,0.9616242401774885,96,0.6
4,21,1.4760901808327447,0.9585465586549881,96,0.6
4,22,1.5538143941302747,0.9617016576092202,96,0.6
4,23,1.6002500648137354,0.9606882085923791,96,0.6
4,24,1.2760065426328442,0.9224805749032223,96,0.6
4,25,1.7261430824172623,0.9470340055242498,96,0.6
4,26,1.4815389254269768,0.9589657208659258,96,0.6
4,27,1.6283734968235661,0.9590202770339967,96,0.6
4,28,1.5161751426821173,0.9609322438828158,96,0.6
4,29,1.6986551614055647,0.9513751593463242,96,0.6
4,30,1.6188033293597195,0.9596771229353623,96,0.6
4,31,1.2148916585361471,0.9034392773913276,96,0.6
4,32,1.6552739402463768,0.9566807607600343,96,0.6
4,33,1.451870845764043,0.9563221795806061,96,0.6
4,34,1.6740713372079126,0.9546141206102979,96,0.6
4,35,1.6005151312297692,0.9606762004381363,96,0.6
4,36,1.592143799038718,0.9610213271171584,96,0.6
4,37,1.429735128715069,0.9537733189148274,96,0.6
4,38,1.5815464399326218,0.9613571698349286,96,0.6
4,39,1.2531897340488052,0.9158109428755947,96,0.6
4,40,1.6647009934329502,0.9556887313863395,96,0.6
4,41,1.201244895969475,0.8986745075052847,96,0.6
4,42,1.2672670110248536,0.9199877526840122,96,0.6
4,43,1.69293022148098,0.9521837072861762,96,0.6
4,44,1.5490873784520063,0.9616832412545337,96,0.6
4,45,1.7845775506257224,0.9352813811364742,96,0.6
4,46,1.5638233988843535,0.9616665040779463,96,0.6
4,47,1.6467407037344621,0.957501684483745,96,0.6
4,48,1.04926435778896,0.8329558084450265,96,0.6
4,49,1.497861727148639,0.9600427501131639,96,0.6
8,0,1.4423953613634766,0.955291414142766,96,0.6
8,1,1.4322789829578002,0.9540912912590265,96,0.6
8,2,1.7078061115759522,0.9500143119479931,96,0.6
8,3,1.586115840827986,0.961226207314319,96,0.6
8,4,1.6201093658881374,0.9595929095080563,96,0.6
8,5,1.3766099000062537,0.945646086239746,96,0.6
8,6,1.4487983728630527,0.9559978389193379,96,0.6
8,7,1.4258061765678207,0.9532694294901719,96,0.6
8,8,1.5146197693175287,0.9608698019893039,96,0.6
8,9,1.4677431306750606,0.9578465440421498,96,0.6
8,10,1.4921588231836418,0.9596969019462577,96,0.6
8,11,1.5059436788304026,0.9604768658893321,96,0.6
8,12,1.5744839943043534,0.9615182864024397,96,0.6
8,13,1.1570158379449622,0.8819450504195839,96,0.6
8,14,1.334138111681694,0.937107490821405,96,0.6
8,15,1.7110873537723124,0.9495058472906281,96,0.6
8,16,1.5576993006528255,0.9616999736901786,96,0.6
8,17,1.719934432675453,0.9480809523389182,96,0.6
8,18,1.3696991592271928,0.9443802863279619,96,0.6
8,19,1.555378311303576,0.9617028045365691,96,0.6
8,20,1.540527296774602,0.9615927120680822,96,0.6
8,21,1.631088229450259,0.9588171860838994,96,0.6
8,22,1.045724800037801,0.8311485134136462,96,0.6
8,23,1.59713644082952,0.9608239746870486,96,0.6
8,24,1.0805590063519872,0.8483867951027808,96,0.6
8,25,1.4598121347036772,0.9571165188849224,96,0.6
8,26,1.4477045418076329,0.955880079366888,96,0.6
8,27,1.5594394433889414,0.9616942985522974,96,0.6
8,28,1.48760739883957,0.9593974212712254,96,0.6
8,29,1.4426094747081695,0.9553157027907632,96,0.6
8,30,1.5291229529489212,0.961357641632314,96,0.6
8,31,1.4300313307277965,0.9538106777616127,96,0.6
8,32,1.571855117879866,0.9615654512546191,96,0.6
8,33,1.755957189062793,0.941466618115066,96,0.6
8,34,1.3440132438065437,0.9392546283774987,96,0.6
8,35,1.2796039177401457,0.9234843617938686,96,0.6
8,36,1.2204407721044725,0.905323201163108,96,0.6
8,37,1.5608495301866478,0.9616874666734188,96,0.6
8,38,1.5545219408061168,0.9617024811138981,96,0.6
8,39,1.2503155003961082,0.9149336469808531,96,0.6
8,40,1.4645213778109079,0.9575576183994381,96,0.6
8,41,1.5969200311700238,0.9608330486987505,96,0.6
8,42,1.4157676327048434,0.9519114941100237,96,0.6
8,43,1.8972159980681091,0.902939781016753,96,0.6
8,44,1.820922614034077,0.9262397133291169,96,0.6
8,45,1.499149430358599,0.9601163164249257,96,0.6
8,46,1.56609373877065,0.961644515093324,96,0.6
8,47,1.266567939571189,0.9197850357733306,96,0.6
8,48,1.6086189603347174,0.9602749823651703,96,0.6
8,49,1.5669508421313485,0.9616348661906166,96,0.6
16,0,1.4672157899692873,0.9577999666254184,96,0.6
16,1,1.4748897072428733,0.958450195502197,96,0.6
16,2,1.5550869281077728,0.9617027772533776,96,0.6
16,3,1.4645559796018313,0.9575607769167647,96,0.6
16,4,1.5282091719932762,0.9613331477410704,96,0.6
16,5,1.5335111878803989,0.9614635715818795,96,0.6
16,6,1.4497821422553971,0.9561027219545007,96,0.6
16,7,1.4790263109479174,0.9587761386987433,96,0.6
16,8,1.579780539537265,0.9614021576450004,96,0.6
16,9,1.4882817515764326,0.9594431076120357,96,0.6
16,10,1.5627077366231146,0.9616754105195405,96,0.6
16,11,1.6024860592822767,0.96058469709468,96,0.6
16,12,1.5320702991837938,0.961430924171691,96,0.6
16,13,1.3601357385183226,0.9425494065392511,96,0.6
16,14,1.520375249997346,0.9610887083543269,96,0.6
16,15,1.6047914656793725,0.960472708871629,96,0.6
16,16,1.5005943611619097,0.9601968801338978,96,0.6
16,17,1.5603850047653234,0.9616899381175169,96,0.6
16,18,1.5445670300844585,0.9616446154985664,96,0.6
16,19,1.5303133276087446,0.9613882904227896,96,0.6
16,20,1.5437660938513462,0.9616356289885599,96,0.6
16,21,1.5218023590470977,0.9611378345139889,96,0.6
16,22,1.5159627072589097,0.9609238588887452,96,0.6
16,23,1.4095134137666991,0.9510142455345165,96,0.6
16,24,1.6132388611036244,0.9600167011249315,96,0.6
16,25,1.4669152093450342,0.9577732927071573,96,0.6
16,26,1.454355711699034,0.9565775482026528,96,0.6
16,27,1.456811615300698,0.9568238402826685,96,0.6
16,28,1.5192424354520686,0.961048254993873,96,0.6
16,29,1.517311678912894,0.9609763331103811,96,0.6
16,30,1.4775584435457738,0.9586624476128196,96,0.6
16,31,1.5202825590558888,0.9610854467833159,96,0.6
16,32,1.5385502166317748,0.9615613298037605,96,0.6
16,33,1.4942581840766045,0.9598280192373115,96,0.6
16,34,1.5962749179108995,0.9608598187580326,96,0.6
16,35,1.4904184037258328,0.9595848430076567,96,0.6
