budget_measurements,epsilon,method,n,heldout_r2_mean,heldout_r2_std,heldout_r2_sem,mae_mean,mae_std,mae_sem,rmse_mean,rmse_std,rmse_sem,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_sem,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_sem,true_pair_abs_coef_mean_mean,true_pair_abs_coef_mean_std,true_pair_abs_coef_mean_sem,main_topk_overlap_mean,main_topk_overlap_std,main_topk_overlap_sem,omp_k_mean,omp_k_std,omp_k_sem,omp_val_r2_mean,omp_val_r2_std,omp_val_r2_sem,budget_forward_mean,budget_forward_std,budget_forward_sem,budget_backward_mean,budget_backward_std,budget_backward_sem
80,5.0,lifted_omp,3,0.9531253827164763,0.07772764280429957,0.044876075496537424,0.017797765355950766,0.01584131489671294,0.009145987419934845,0.03761084542838634,0.04619760747880664,0.026672201113805683,1.0,0.0,0.0,0.0,0.0,0.0,5.4848654154214955,1.7511241390525807,1.0110119930664594,1.0,0.0,0.0,3.6666666666666665,0.5773502691896258,0.33333333333333337,0.9214680922867751,0.13298493003145856,0.07677888515182617,80.0,0.0,0.0,0.0,0.0,0.0
96,5.0,lifted_omp,3,0.997694748821373,0.0005740992891910459,0.0003314563791560373,0.009192590808669666,0.001030095723822008,0.0005947260434397192,0.011737087710011368,0.001536174709580029,0.000886910882098325,1.0,0.0,0.0,0.0,0.0,0.0,6.489860026156189,0.1394741796921754,0.0805254551902797,1.0,0.0,0.0,5.333333333333333,2.3094010767585034,1.3333333333333333,0.9978328974672793,0.0009876420377002407,0.0005702153963292242,96.0,0.0,0.0,0.0,0.0,0.0
112,5.0,lifted_omp,3,0.997894630761305,0.0002155807868900286,0.00012446562534307288,0.008934943042451933,0.0005909448785814661,0.0003411821847252399,0.011412553020014433,0.000662219541226761,0.00038233263038990075,1.0,0.0,0.0,0.0,0.0,0.0,6.528533301077843,0.021067318667501632,0.012163222103785768,1.0,0.0,0.0,4.333333333333333,0.5773502691896257,0.33333333333333337,0.9980238908782315,0.0004188209543058227,0.00024180639071071474,112.0,0.0,0.0,0.0,0.0,0.0
128,5.0,lifted_omp,3,0.9982639545186145,0.00011400808574479912,6.58225989945584e-05,0.008371342232195133,0.00010804579525155913,6.238026897329486e-05,0.010541826255764566,0.000272209290736301,0.00015716010728252034,1.0,0.0,0.0,0.0,0.0,0.0,6.47103306506817,0.04785514358385855,0.027629180030248866,1.0,0.0,0.0,4.0,0.0,0.0,0.9984891409464834,0.0005426266630515652,0.0003132856499822988,128.0,0.0,0.0,0.0,0.0,0.0
192,5.0,lifted_omp,3,0.9978002113777871,0.00041379678290032337,0.00023890568399729056,0.009182424082508366,0.0007676101492998837,0.0004431799263309767,0.0115266119867339,0.0010704631938385093,0.0006180322131202499,1.0,0.0,0.0,0.0,0.0,0.0,6.560411896813149,0.035833910588403614,0.020688717924331773,1.0,0.0,0.0,6.666666666666667,4.618802153517007,2.666666666666667,0.9981256153585188,0.00047032095931825107,0.0002715399324679153,192.0,0.0,0.0,0.0,0.0,0.0
256,5.0,lifted_omp,3,0.9979778870685819,8.679723317859292e-05,5.011240594059341e-05,0.0086002854239997,0.00032537671697249076,0.0001878563351321042,0.0109204855694092,0.00035392486521483953,0.00020433861620468996,1.0,0.0,0.0,0.0,0.0,0.0,6.5039659625578965,0.010329995604961431,0.005964025743252134,1.0,0.0,0.0,4.0,0.0,0.0,0.9970712245581251,0.0006908880085799244,0.00039888437773350773,256.0,0.0,0.0,0.0,0.0,0.0
16,5.0,multigain_atp,3,0.6070776052309991,0.17556987757499087,0.10136531607951063,0.09150288156047177,0.03169679405248535,0.018300152578650548,0.15684402875579148,0.02982131700290825,0.017217345399218237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,16.0,0.0,0.0,1.0,0.0,0.0
24,5.0,multigain_atp,3,0.6086448043530038,0.12634032188996622,0.07294261885267596,0.09416088399495841,0.023352489565680874,0.01348256613699378,0.15421183600779928,0.02594521720967574,0.014979478140189604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,24.0,0.0,0.0,1.0,0.0,0.0
32,5.0,multigain_atp,3,0.6462707555007289,0.05539320067537158,0.031981279321200734,0.07577930530156367,0.005363737803371762,0.003096755464639259,0.14621158108022117,0.009034107766040274,0.005215844550611443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,32.0,0.0,0.0,1.0,0.0,0.0
48,5.0,multigain_atp,3,0.6782633628097372,0.03694440075799643,0.021329859722678632,0.06793973753908004,0.0046508373494970915,0.002685162195689309,0.14206598467180676,0.002372887450265947,0.0013699872081677368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,48.0,0.0,0.0,1.0,0.0,0.0
56,5.0,multigain_atp,3,0.6415446507039112,0.05892505653468811,0.034020397252316086,0.0808379907556215,0.013800479776715993,0.007967710714032968,0.14955701552020814,0.009358896804837103,0.005403361589590634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,56.0,0.0,0.0,1.0,0.0,0.0
64,5.0,multigain_atp,3,0.6776711007227404,0.013360362452025576,0.007713608858147919,0.0769436708575894,0.00894407480457275,0.005163863996072226,0.1428825811192175,0.004595159201417998,0.00265301640190786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,1.0,0.0,0.0
72,5.0,multigain_atp,3,0.6634844407633494,0.029507726038208896,0.01703629357133365,0.0760751278316835,0.007285993120317208,0.004206570089328903,0.1458958042039744,0.005100758840001769,0.0029449244893463775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,72.0,0.0,0.0,1.0,0.0,0.0
80,5.0,multigain_atp,3,0.6685920336738284,0.01968280244561032,0.011363871290379343,0.0710907468385449,0.004505323567520348,0.002601149774494235,0.14115603237750798,0.008281191299875208,0.004781148026193738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,80.0,0.0,0.0,1.0,0.0,0.0
96,5.0,multigain_atp,3,0.6843453913185863,0.0033621749893050466,0.0019411526351378976,0.0650100836606644,0.005411514352996531,0.0031243392684260707,0.13805474092671713,0.005411965717284691,0.003124599863719342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,96.0,0.0,0.0,1.0,0.0,0.0
112,5.0,multigain_atp,3,0.6764824457385498,0.045338865551942206,0.026176406231166075,0.06733304749191917,0.005028137610189839,0.002902996602765587,0.14123250844175658,0.007203868995695268,0.004159155703871457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,112.0,0.0,0.0,1.0,0.0,0.0
128,5.0,multigain_atp,3,0.6964506078634324,0.024245141942567678,0.013997939227082144,0.06259539512230043,0.0021340320102148733,0.0012320839555568345,0.1394163190006757,0.006511540510534965,0.0037594396665965152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,128.0,0.0,0.0,1.0,0.0,0.0
192,5.0,multigain_atp,3,0.7011255843700249,0.04170059146158378,0.024075847705712004,0.06427002428616943,0.007389423714727138,0.004266285770853919,0.13454112597736242,0.008799095312776067,0.005080160047456438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,192.0,0.0,0.0,1.0,0.0,0.0
