method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,source_file,source_dir,budget_measurements,n_components,n_pairs,lifted_dim
lifted_omp,0.0575074846802063,0.1702664997141556,0.2447418087569592,2,5.0,24,0,,4.0,0.4602318499598475,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
multigain_atp,0.4665027572181215,0.1210481554862761,0.1841345564384098,2,5.0,24,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
raw_atp,0.6202645885028552,0.0783796619898473,0.1553494641298865,2,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
scalar_cal_atp,0.6221305432215513,0.0771724105842335,0.1549673137778918,2,5.0,24,1,0.9850304659607766,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
subset_ridge,-0.0288526662971762,0.1957161123734592,0.2557088764818414,2,5.0,24,0,,,,0.5,0.0720246637930717,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
finite_single,0.3835206820116551,0.1356333615315167,0.2350813535121177,0,8.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
first_order_omp,0.3590373146985293,0.1498741400561998,0.2397040106097563,0,8.0,24,0,,1.0,0.5491640800666081,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
lifted_omp,0.3590373146985293,0.1498741400561998,0.2397040106097563,0,8.0,24,0,,1.0,0.0113144814673874,0.5,0.0,1.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
multigain_atp,0.437669119479146,0.1260918544285679,0.2245199277138468,0,8.0,24,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
raw_atp,0.4727598597816289,0.1064936293117855,0.2174018124309298,0,8.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
scalar_cal_atp,0.4700027688907278,0.1083913163704183,0.217969499665669,0,8.0,24,1,0.7433309283463579,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
subset_ridge,0.0571546019743495,0.2138979812946757,0.2907228515638722,0,8.0,24,0,,,,0.5,0.1367830354510686,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
finite_single,0.3379151351797592,0.1263935733096421,0.2235333315022629,1,8.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
first_order_omp,0.1919137377769449,0.1728637220214444,0.2469530092347437,1,8.0,24,0,,1.0,0.0803477708322717,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
