epsilon,n_components,n_measurements,mask_kind,mask_density,mask_rows_normalized,finite_map_norm,atp_map_norm,atp_calibrated_map_norm,ridge_map_norm,omp_map_norm,finite_on_atp_slope,atp_on_finite_slope,finite_to_atp_norm_ratio,atp_vs_finite_cosine,atp_calibration_gain,atp_vs_finite_pearson,atp_vs_finite_spearman,ridge_vs_finite_pearson,ridge_vs_finite_spearman,omp_vs_finite_pearson,omp_vs_finite_spearman,finite_single_holdout_r2,atp_holdout_r2,atp_calibrated_holdout_r2,ridge_holdout_r2,omp_holdout_r2,ridge_train_r2,omp_val_r2,omp_k,aggregate_additivity_gap,atp_finite_calibration_gap,atp_calibrated_gap,atp_minus_finite_mae,atp_calibrated_minus_finite_mae,ridge_minus_finite_mae,omp_minus_finite_mae,source
8.0,32,128,signed,0.3,True,14.1695559371291,23.214814223834367,16.503140685124066,16.538628931310885,16.17630651210613,0.600185606704134,1.6110296053101358,0.6103669751783493,0.9833192671159176,0.7108883373350666,0.9819573060025928,0.5477777777777778,0.9870146723757208,0.4771618386079745,0.9913335979848268,0.577670930291376,0.92693506827896,0.8600603916437285,0.9650761524846784,0.952328764515216,0.97135966963785,0.9867827381466642,0.9708669221216266,4,0.0730649317210399,0.0668746766352316,-0.0381410842057183,0.858509348705411,0.3581593582023702,0.3917971362819399,0.2932101280093915,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
0.05,32,128,signed,0.3,True,0.1324501180290039,0.1127955184422872,0.1177240891802436,0.1201549927048161,0.1187121260395037,1.1648597584402742,0.844797524240288,1.1742498271043726,0.9920033467773602,1.043694738993359,0.9907372320111976,0.9985185185185184,0.9888959434908824,0.8518904794298358,0.9875732659627257,0.7027226952148927,0.947844082176174,0.9921087980406526,0.9938181483924134,0.9862660560969964,0.992032637407128,0.9962036240549234,0.9834136204505816,12,0.0521559178238261,-0.0442647158644786,-0.0459740662162395,0.0013102507749863,0.001171932326275,0.0021062390373006,0.0021652822531074,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
0.1,32,128,signed,0.3,True,0.3970747094995133,0.2255910368845745,0.2888979307537164,0.2912934942405741,0.2874745055568548,1.755315597290597,0.5665711273882927,1.7601528632659276,0.997251792116308,1.2806268136509935,0.9972468125351732,0.994074074074074,0.9722716774537374,0.4959535403601033,0.9856453780585356,0.5757474976710939,0.7074135133313284,0.9345831789272956,0.9537876337978396,0.8936720765787711,0.9426925312684348,0.981093100791666,0.9407443273873584,4,0.2925864866686716,-0.2271696655959673,-0.246374120466511,0.0109920489849173,0.007573592729799,0.012657759150811,0.0090043606443645,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
0.2,32,128,signed,0.3,True,0.7990603220255439,0.4511820737691491,0.6875979001630151,0.6916401167038471,0.6866701311592814,1.7666412281947663,0.5632392370869552,1.7710373892966091,0.9975177479998948,1.5239920647087366,0.9975673860549804,0.9503703703703704,0.970673753325946,0.6064929624314487,0.9773103558227184,0.574170796275774,0.8789389698849045,0.85387360564173,0.9544756973983396,0.8689942980209766,0.9213134754284148,0.9856850837944512,0.9261514958431512,5,0.1210610301150955,0.0250653642431745,-0.0755367275134352,0.0235991784080397,0.0103293245089937,0.0244737167305681,0.0137480452438445,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
0.4,32,128,signed,0.3,True,1.516614484725208,0.9023641475382982,1.41768242884295,1.385958697363692,1.407576532318649,1.6793844303278962,0.594515780766028,1.6807122588620351,0.9992099608203976,1.571075748865322,0.9991550362930752,0.927037037037037,0.9889304524635826,0.7232962850868371,0.9917024393385946,0.6353768202442577,0.952439267089042,0.7891579576364959,0.959460641754898,0.9421846487566388,0.9390353004569864,0.990134671348925,0.9313257471584704,5,0.047560732910958,0.163281309452546,-0.0070213746658561,0.0434736654307926,0.0116161241998351,0.0322424064653653,0.0207265196373635,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
0.6,32,128,signed,0.3,True,2.160213864986823,1.3535462213074474,2.048146243542663,1.9906636101900133,2.022178809301985,1.5941428967242124,0.6258639424524025,1.595966085960612,0.9988576265796384,1.5131705229572967,0.9986482428786864,0.92,0.9937289389899626,0.6672896445706887,0.9870045276853572,0.5701015293407526,0.959194267861488,0.806669030910873,0.9608094315778845,0.9712652442453662,0.9374785694999672,0.9941868510371056,0.9616426647611426,12,0.0408057321385119,0.152525236950615,-0.0016151637163962,0.0618027103540953,0.0165813919477889,0.032285792345782,0.0373187421940364,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
0.9,32,128,signed,0.3,True,3.074671835282224,2.030319331961171,2.999277469785278,2.899043830164878,2.972933437500274,1.5086746376963027,0.6578498043993143,1.5143784462280958,0.99623356463769,1.4772442061555653,0.995747040710812,0.925925925925926,0.9914808075124468,0.5843850780171796,0.9834846729641028,0.5751063534643331,0.9625556325921464,0.8172434139406107,0.9672039840481168,0.9811760532742384,0.9404157500740848,0.9966132357479196,0.95182692124075,4,0.0374443674078537,0.1453122186515355,-0.0046483514559706,0.0864033113437472,0.0269756931760472,0.0483061884851821,0.0662880332767345,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
1.2,32,128,signed,0.3,True,3.895257758692616,2.707092442614895,3.928949260669468,3.802416811143228,3.8898280830172873,1.4359423684500774,0.6935388279321374,1.4389082904498165,0.9979387692604011,1.4513539319234812,0.9981214309586678,0.9455555555555556,0.9933256710448456,0.5773842479526611,0.990213488658958,0.5757474976710939,0.980199278150816,0.8551368050629029,0.9791138780948772,0.9850962141165314,0.9575986917758824,0.9975531468586268,0.9539475237468824,4,0.0198007218491839,0.1250624730879131,0.0010854000559389,0.1055209132784512,0.0300151326218823,0.0592655903132315,0.0797966743564864,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
2.0,32,128,signed,0.3,True,5.588660851139081,4.511820737691491,5.958819948088455,5.80066242203127,5.945971069859771,1.2332145864339443,0.8037607873370967,1.2386708550833434,0.9955950617333028,1.320712921572618,0.9958056414970984,0.9344444444444444,0.9920695866535852,0.6588149555452188,0.9920429431849708,0.6254672735065031,0.9614107070869654,0.8853111259348695,0.969961501183344,0.9819855617554772,0.9492962497264016,0.9950292684815832,0.9628371891363852,5,0.0385892929130345,0.0760995811520959,-0.0085507940963786,0.1169312529382295,0.0721935922207724,0.099761330837738,0.1205271928481374,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
3.0,32,128,signed,0.3,True,7.146396883678776,6.767731106537237,8.00824614839149,7.737408166548948,7.922573825740538,1.0503371850446548,0.9419778008551696,1.0559516581230255,0.9946830207280976,1.1832985120605617,0.9950684462214272,0.9403703703703704,0.985501726558146,0.4528431657522785,0.9883252417945144,0.5840803430135285,0.9300936799623906,0.9083213561648076,0.9552810809453194,0.9589559953116268,0.9426965642069444,0.991054208878298,0.9421456889647628,5,0.0699063200376094,0.021772323797583,-0.0251874009829288,0.0966636994853615,0.1079913786022705,0.1774202780964368,0.1870562614634254,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
