method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,noise_std,source_dir,source_file,measurements,holdout_measurements,mask_density,mode,n_components
subset_ridge,0.0722616105930341,0.213843409111281,0.2930082674326451,0,8.0,96,0,,,,1.0,0.1718847050546398,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.3785188677381877,0.14864293026455,0.2398176178016576,0,8.0,96,0,,7.0,0.5256802824872389,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.971900649551227,0.0408180260947732,0.0509935504396598,0,8.0,96,0,,4.0,0.9538955914255453,1.0,0.0,1.0,9.594861807988408,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.6234052078954423,0.0910173779781397,0.1459644465869,1,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.6337389631948194,0.088404839287985,0.1439478856796776,1,5.0,96,1,0.8876151421260411,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.6324418287302798,0.0862982385585122,0.1442025602386352,1,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.5292849832265812,0.1112859362359161,0.1631882769120664,1,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-0.0244532307161498,0.1881651194524788,0.240744291654529,1,5.0,96,0,,,,1.0,0.0052654743531458,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.5561190378186921,0.1057560239902527,0.1584685884366035,1,5.0,96,0,,5.0,0.6983246953534978,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9534071306287916,0.0405087383844719,0.0513416306970849,1,5.0,96,0,,4.0,0.9299131117580776,1.0,0.0,1.0,6.374147858363958,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3538339467598941,0.1302838603712304,0.2239511402084603,1,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.3770093560844312,0.1237972428052475,0.2198983501665165,1,8.0,96,1,0.8147206283733726,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.3800927468259838,0.1169468886788838,0.2193534996305588,1,8.0,96,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.3003673283846575,0.1446246072656086,0.2330323687698371,1,8.0,64,0,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-0.8008885649162978,0.2924719978306667,0.3738734529517721,1,8.0,96,0,,,,0.5,0.045435037450494,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.2334692389009326,0.1569590177685677,0.2439192088369212,1,8.0,96,0,,5.0,0.5566814710548755,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9625738180160328,0.0428569166677131,0.0538975434446504,1,8.0,96,0,,5.0,0.9440520594198264,1.0,0.0,1.0,10.24518924630962,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.6474756464882243,0.0909898662261569,0.1501023199254225,2,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.6524472844049958,0.0924019911314812,0.1490401178456397,2,5.0,96,1,0.7905295823834252,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.6564821092282187,0.0904612219289714,0.1481724706482227,2,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.5546139651280355,0.1173672482238809,0.1687178917549107,2,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-0.6277947088955587,0.2543596113733519,0.3225467411964433,2,5.0,96,0,,,,0.5,0.557240846585345,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.6565515849788559,0.0904323039874918,0.1481574861096354,2,5.0,96,0,,2.0,0.429504891925571,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
