epsilon,component,layer,bin,token_start,token_end_exclusive,finite_effect,atp_effect,atp_calibrated_effect,ridge_effect,omp_effect
1.2,25,3,1,7,15,0.0,0.0,0.0,-0.013529629911059028,0.0
1.2,26,3,2,15,23,0.0,0.0,0.0,0.028130660758329495,0.0
1.2,27,3,3,23,31,0.0,0.0,0.0,0.00854920886258838,0.0
1.2,28,3,4,31,39,0.0,0.0,0.0,-0.06013837222019583,0.0
1.2,29,3,5,39,47,0.0,0.0,0.0,0.002823488101059962,0.0
1.2,30,3,6,47,55,0.0,0.0,0.0,-0.03951830619931733,0.0
1.2,31,3,7,55,63,1.5056993961334229,1.3171647548675536,1.5776476694455013,1.3460449789548237,1.3363473789626068
2.0,0,0,0,0,7,-0.026754045858979225,-0.036755502223968506,-0.039430154724255546,-0.12113211143793536,0.0
2.0,1,0,1,7,15,0.029683569446206093,0.02461148425936699,0.026402431571390512,0.061291793550266455,0.0
2.0,2,0,2,15,23,0.0744452103972435,0.050952862948179245,0.0546606398532724,0.05452429112570019,0.0
2.0,3,0,3,23,31,0.0403776653110981,0.0804201290011406,0.08627220246202345,0.16575930437670863,0.0
2.0,4,0,4,31,39,0.0572427362203598,0.08907584846019745,0.09555778793547672,0.0070657388288384885,0.0
2.0,5,0,5,39,47,0.11913695931434631,0.18903523683547974,0.2027910975434491,0.016433705847666628,0.0
2.0,6,0,6,47,55,0.3487074375152588,0.5080127716064453,0.5449802335520169,0.41623494256581495,0.3756937425724555
2.0,7,0,7,55,63,3.0968379974365234,3.1493353843688965,3.378508630559824,3.413861561308542,3.4260718938835018
2.0,8,1,0,0,7,0.060376424342393875,0.02495645359158516,0.02677250389584417,0.17240511449207663,0.0
2.0,9,1,1,7,15,0.08524630963802338,0.0720163881778717,0.0772569317984668,-0.0312236342026604,0.0
2.0,10,1,2,15,23,0.13378450274467468,0.09790737926959991,0.10503197833409647,0.25712754147558975,0.0
2.0,11,1,3,23,31,0.13729916512966156,0.11840242892503738,0.1270184274396189,0.22916628752846743,0.0
2.0,12,1,4,31,39,0.08661340922117233,0.13202834129333496,0.141635880621656,0.08921257602075687,0.0
2.0,13,1,5,39,47,0.17644339799880981,0.23732078075408936,0.2545903208557635,0.10194893805496497,0.0
2.0,14,1,6,47,55,0.2469111979007721,0.453900545835495,0.4869303279454748,0.26970385415611425,0.0
2.0,15,1,7,55,63,3.024259567260742,2.888558864593506,3.098755725524254,3.037291422520068,2.9347354766248093
2.0,16,2,0,0,7,0.07662269473075867,0.036444734781980515,0.039096773119341524,-0.06615651390344834,0.0
2.0,17,2,1,7,15,0.09596911817789078,0.07960458099842072,0.08539730803842523,0.07632989562641238,0.0
2.0,18,2,2,15,23,0.11134747415781021,0.10422910749912262,0.11181373091894418,0.020066420587577845,0.0
2.0,19,2,3,23,31,0.15266236662864685,0.13313178718090057,0.14281962290359884,0.06007621568458349,0.0
2.0,20,2,4,31,39,0.16182976961135864,0.1786569505929947,0.19165759622927184,0.20390676060607227,0.3116820942454377
2.0,21,2,5,39,47,0.2202838659286499,0.19299113750457764,0.2070348642183226,0.28389973474207253,0.0
2.0,22,2,6,47,55,0.29250913858413696,0.25616055727005005,0.27480104463986965,0.04245237187531863,0.0
