epsilon,hvp_budget,method,heldout_r2_mean,heldout_r2_std,heldout_r2_count,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_count,pair_rmse_mean,pair_rmse_std,pair_rmse_count,pair_l1_mean,pair_l1_std,pair_l1_count,selected_k_mean,selected_k_std,selected_k_count,hvp_val_r2_mean,hvp_val_r2_std,hvp_val_r2_count,false_pair_count_in_selected_mean,false_pair_count_in_selected_std,false_pair_count_in_selected_count
5.0,8,hvp_pairs_only,0.2722872107147957,0.07234999067891358,3,0.8333333333333334,0.2886751345948129,3,0.045441750446081064,0.07638203764684003,3,2.066552129334743,3.429858507295517,3,2.0,1.0,3,0.9965457207876449,0.0015508303246508219,3,0.3333333333333333,0.5773502691896258,3
5.0,12,hvp_pairs_atp_main,0.9868861186680045,0.0008134029170232323,3,1.0,0.0,3,0.0005064992483125415,0.00033929759412682626,3,0.027446560015536175,0.01685392559732917,3,2.0,0.0,3,0.9928731815577033,0.003645700597487495,3,0.0,0.0,3
5.0,12,hvp_pairs_finite_main,0.892656081803595,0.0052568443779410735,3,1.0,0.0,3,0.0005064992483125415,0.00033929759412682626,3,0.027446560015536175,0.01685392559732917,3,2.0,0.0,3,0.9928731815577033,0.003645700597487495,3,0.0,0.0,3
5.0,12,hvp_pairs_only,0.3575536846028955,0.028149177552089306,3,1.0,0.0,3,0.0005064992483125415,0.00033929759412682626,3,0.027446560015536175,0.01685392559732917,3,2.0,0.0,3,0.9928731815577033,0.003645700597487495,3,0.0,0.0,3
5.0,16,hvp_pairs_atp_main,0.9856546906635382,0.0010503692350214498,3,1.0,0.0,3,0.0005927739459416638,0.00014597944976072508,3,0.03591139817565736,0.010483329991576563,3,2.0,0.0,3,0.9970169810121515,0.00119501381288637,3,0.0,0.0,3
5.0,16,hvp_pairs_finite_main,0.889143053803284,0.005863396839850346,3,1.0,0.0,3,0.0005927739459416638,0.00014597944976072508,3,0.03591139817565736,0.010483329991576563,3,2.0,0.0,3,0.9970169810121515,0.00119501381288637,3,0.0,0.0,3
5.0,16,hvp_pairs_only,0.3351002138219658,0.03668358268513651,3,1.0,0.0,3,0.0005927739459416638,0.00014597944976072508,3,0.03591139817565736,0.010483329991576563,3,2.0,0.0,3,0.9970169810121515,0.00119501381288637,3,0.0,0.0,3
5.0,24,hvp_pairs_atp_main,0.9856342477132553,0.0020946797165063273,3,1.0,0.0,3,0.0006397312421386839,0.0007438401136041405,3,0.044323548204237,0.05466306482761919,3,2.6666666666666665,1.1547005383792515,3,0.9979538509263023,0.00015722116536769301,3,0.6666666666666666,1.1547005383792517,3
5.0,24,hvp_pairs_finite_main,0.8907833201068671,0.005517141750545967,3,1.0,0.0,3,0.0006397312421386839,0.0007438401136041405,3,0.044323548204237,0.05466306482761919,3,2.6666666666666665,1.1547005383792515,3,0.9979538509263023,0.00015722116536769301,3,0.6666666666666666,1.1547005383792517,3
5.0,24,hvp_pairs_only,0.3340172353403668,0.017828516961198228,3,1.0,0.0,3,0.0006397312421386839,0.0007438401136041405,3,0.044323548204237,0.05466306482761919,3,2.6666666666666665,1.1547005383792515,3,0.9979538509263023,0.00015722116536769301,3,0.6666666666666666,1.1547005383792517,3
5.0,32,hvp_pairs_atp_main,0.9863876455854302,0.0005021938032666828,3,1.0,0.0,3,0.0005768446748989395,0.00044498613298048575,3,0.03175973929421692,0.025972298311643015,3,2.3333333333333335,0.5773502691896258,3,0.9974424756568795,0.0004463346247485851,3,0.3333333333333333,0.5773502691896258,3
5.0,32,hvp_pairs_finite_main,0.8876618277259105,0.0011738247388897844,3,1.0,0.0,3,0.0005768446748989395,0.00044498613298048575,3,0.03175973929421692,0.025972298311643015,3,2.3333333333333335,0.5773502691896258,3,0.9974424756568795,0.0004463346247485851,3,0.3333333333333333,0.5773502691896258,3
5.0,32,hvp_pairs_only,0.2836515271836155,0.011135139611154863,3,1.0,0.0,3,0.0005768446748989395,0.00044498613298048575,3,0.03175973929421692,0.025972298311643015,3,2.3333333333333335,0.5773502691896258,3,0.9974424756568795,0.0004463346247485851,3,0.3333333333333333,0.5773502691896258,3
5.0,48,hvp_pairs_atp_main,0.9865647098361531,0.0010714194245410973,3,1.0,0.0,3,0.00041115253859992277,0.00034984281904497665,3,0.024180872143012164,0.022140764763706775,3,2.3333333333333335,0.5773502691896258,3,0.9978286896354205,0.00036101020018567743,3,0.3333333333333333,0.5773502691896258,3
5.0,48,hvp_pairs_finite_main,0.8930105730446115,0.013553959266531586,3,1.0,0.0,3,0.00041115253859992277,0.00034984281904497665,3,0.024180872143012164,0.022140764763706775,3,2.3333333333333335,0.5773502691896258,3,0.9978286896354205,0.00036101020018567743,3,0.3333333333333333,0.5773502691896258,3
5.0,48,hvp_pairs_only,0.3362711117618072,0.054625789043216,3,1.0,0.0,3,0.00041115253859992277,0.00034984281904497665,3,0.024180872143012164,0.022140764763706775,3,2.3333333333333335,0.5773502691896258,3,0.9978286896354205,0.00036101020018567743,3,0.3333333333333333,0.5773502691896258,3
5.0,64,hvp_pairs_atp_main,0.9859752024028539,0.0008529933121359369,3,1.0,0.0,3,0.0002911765306876299,0.00030162490521132025,3,0.018971431462179323,0.020240015586460214,3,2.3333333333333335,0.5773502691896258,3,0.997592389047656,0.0004761762342076206,3,0.3333333333333333,0.5773502691896258,3
5.0,64,hvp_pairs_finite_main,0.883876737576838,0.00549062594104953,3,1.0,0.0,3,0.0002911765306876299,0.00030162490521132025,3,0.018971431462179323,0.020240015586460214,3,2.3333333333333335,0.5773502691896258,3,0.997592389047656,0.0004761762342076206,3,0.3333333333333333,0.5773502691896258,3
5.0,64,hvp_pairs_only,0.28447300443994067,0.016937652524476553,3,1.0,0.0,3,0.0002911765306876299,0.00030162490521132025,3,0.018971431462179323,0.020240015586460214,3,2.3333333333333335,0.5773502691896258,3,0.997592389047656,0.0004761762342076206,3,0.3333333333333333,0.5773502691896258,3
8.0,1,hvp_pairs_atp_main,0.47891466935278354,0.1690034547326082,3,0.3333333333333333,0.2886751345948129,3,0.3105838116446385,0.05438266249167095,3,18.500725199603433,6.0608053970265505,3,4.0,0.0,3,,,0,3.3333333333333335,0.5773502691896257,3
8.0,1,hvp_pairs_finite_main,0.40543754002278254,0.1809597216210716,3,0.3333333333333333,0.2886751345948129,3,0.3105838116446385,0.05438266249167095,3,18.500725199603433,6.0608053970265505,3,4.0,0.0,3,,,0,3.3333333333333335,0.5773502691896257,3
8.0,1,hvp_pairs_only,0.0657990288465941,0.16078521833277262,3,0.3333333333333333,0.2886751345948129,3,0.3105838116446385,0.05438266249167095,3,18.500725199603433,6.0608053970265505,3,4.0,0.0,3,,,0,3.3333333333333335,0.5773502691896257,3
8.0,2,hvp_pairs_atp_main,0.6788693863116001,0.2808760228411053,3,0.6666666666666666,0.28867513459481287,3,0.20161208982175036,0.17955832640324967,3,11.431392963874373,11.153387056373731,3,4.0,0.0,3,,,0,2.6666666666666665,0.5773502691896258,3
8.0,2,hvp_pairs_finite_main,0.62922740253712,0.2677004609871704,3,0.6666666666666666,0.28867513459481287,3,0.20161208982175036,0.17955832640324967,3,11.431392963874373,11.153387056373731,3,4.0,0.0,3,,,0,2.6666666666666665,0.5773502691896258,3
8.0,2,hvp_pairs_only,0.32042916689740386,0.2507434219644365,3,0.6666666666666666,0.28867513459481287,3,0.20161208982175036,0.17955832640324967,3,11.431392963874373,11.153387056373731,3,4.0,0.0,3,,,0,2.6666666666666665,0.5773502691896258,3
